genes	podo	mesa	endo
4933401J01RIK	0.0954576205249458	0.270061371854121	0
GM26206	0	0	0
XKR4	19.6346871923222	0.150336169049811	0.0493139327421573
GM18956	4.13134868793762	0	0
GM37180	17.917241637636	0.438180173405569	0
GM37363	12.7857658331233	0.437357002174996	0
GM37686	5.04110894730242	0.0444783674989011	0
GM1992	0	0	0
GM37329	1.55292432858047	0	0.0416411073836087
GM7341	1.93648053226526	0.554538609908005	0.185001636907307
GM38148	14.1812076597501	0	0.181488154124544
GM19938	29.6896593045907	0.254257452006681	0.0922120607949392
GM10568	0.0625089681528103	0	0
GM38385	0	0	0
GM27396	0	0	0
GM37381	0	0.0612643451422175	0
RP1	0.0117998791546853	0.0370477460345934	0.0909200293009835
GM6101	0	0	0.0692059937624749
GM37483	0	0.22524141987597	0.224546414437556
SOX17	4.1916430282891	1.405964986801	82.6999856005699
GM37587	0.487353031655006	0.31271498212676	8.88463239775245
GM7357	0.244386265427427	0.624295973742306	10.2399219975552
GM22307	0	1.91963645897126	18.4542219321453
GM38076	0	0	0
GM37323	0.0557172121625995	0.308251587277614	0.718984940552402
GM7369	0.082534096862654	0.267835149916618	1.1782653708893
GM6085	0.0694827577970694	0.574463320675466	0.146165543022193
GM6119	0	1.94291800623886	0.214274610869885
GM25493	0.99164712584167	3.69367240106287	0
GM2053	1.06115648584533	4.36159514380492	1.35975512824986
GM6123	1.54944661136905	2.25157027658475	1.33443547190981
MRPL15	3.78519766451952	4.45536127944966	7.18710894433497
GM37144	1.10379490509788	0.562016460944884	1.39662823398973
LYPLA1	6.22300989680404	11.9182880536515	17.4130407768315
GM37988	0	0	0
TCEA1	20.3844777932831	35.6547399199385	44.890964963146
GM6104	0.466884282896896	1.11013917942518	1.08484542526369
GM37277	15.5994781757861	8.67726158441099	11.9155420563153
RGS20	0.932093872635475	0.719186004147666	1.34382503684364
GM17100	0	0.377575553510892	0.55008601703127
GM37079	0	0.08724361467398	0
GM16041	0.0137100206659989	0.0275706175986477	0.0777651131701682
GM17101	0	0.194018672333053	0.107878788272145
ATP6V1H	10.0027829522529	13.1358177970953	15.2358624535653
GM7182	0	0	0
GM37567	0	0.126794939834976	0
GM38264	0	0	0.0368167806674472
OPRK1	0	0.171201494236203	0.0527647552898961
GM36965	0	0	0
GM22463	0	0	0
GM37429	0	0.0464505651884295	0.142838951453168
NPBWR1	2.53856429624763	0.0730849631914767	0.0232003677920052
GM19214	0	0.284489059709038	0.0790911891856724
RB1CC1	52.093650766439	34.6387130131478	44.4907897979845
4732440D04RIK	6.60738470781687	4.61748752406647	5.98157950509365
FAM150A	0	0	0
GM2147	0	0.321441472785485	0.687478001864447
GM7417	0	0	0
GM19026	0.011273692490253	0	0.016514723690122
ST18	0	0.354261833796482	0.130664727819066
GM42492	0	0.263518169613227	0.0293844795499428
GM7449	0	0.126040070548997	0
GM37108	0.328392422216828	4.1386440823031	0
GM37275	0	0	0
GM37225	0	0	0
GM37489	0	0	0
GM5694	0	0	0
PCMTD1	68.9062187892893	56.2257197969025	55.8147597033329
GM26983	21.6686843018124	21.7790257538887	25.9619791336126
GM38372	26.1909438901764	34.1548975442659	27.50792170758
GM9826	0.118940592245488	0.650085513004569	0.198933934341094
NRAS-PS2	0	0	0
GM23274	0	0	0
GM19002	0	0.202965514930756	0.0739246030793011
GM26901	0.254396369628432	0.180532942354862	0.457621894558771
GM18984	0	0.257086893135151	0
GM30414	0	0	0
GM37791	0	0.718185668216522	0
GM7470	0	0.0398876213718304	0
RPS2-PS2	0	0	0
GM38216	0	0.253790487368112	0.0616241337036678
SNTG1	0.0625365483832407	0.304222511522267	0.0275503397626244
GM38024	0	0.162244155695044	0.0338292882654357
GM16284	1.3255838430155	0	0.537158370606559
GM38259	0.0218596249755077	0.0817673083995218	0
GM23358	0	0.933641368681478	0
GM37005	0	0.57849908635668	0.128542436969506
GM15452	0	0	0
GM36964	0.39016118516891	0.960727922498674	0.652563587649195
GM24276	0.464271154371327	5.18793078149284	0
GM6152	0	0.491556275141087	0
GM7445	0	0	0
GM7493	0	0	0
GM37629	0	0.275205397984676	0.0815769122743649
GM38008	0	0	0
GM37143	0.0156703979689616	0.0886669738827585	0
GM6187	0	0	0
GM18299	0	0.484436559221522	0
GM7512	0	0	0
GM24765	0	0	0
GM18300	0	0	0.0918972904370843
RRS1	2.50064449957794	6.421808781738	3.34883863274592
ADHFE1	1.85142847697396	1.67871695661628	16.918271286168
2610203C22RIK	0.677942687834749	1.18084983811652	34.8588434127441
GM6161	0.270850992028919	0	2.05453829321169
3110035E14RIK	0.212270906549208	0.0256647932352533	10.7171093633024
GM29520	0	0	0.261322387054401
MYBL1	3.15259771038138	4.41363539199353	4.54217422318678
VCPIP1	21.6041846994193	28.733703458842	34.5944656973916
1700034P13RIK	0.244471536937595	0.147079910168294	0.270159714229872
SGK3	13.8188804094114	7.04912904072511	23.9948853907504
GM6195	1.55496155883599	0.468148833467702	8.77626425433029
GM22607	2.43189652289743	11.3704411518482	15.3482181800881
MCMDC2	3.25856927974017	0.672297868931178	1.36450958800623
